atom_id,distance_um,load_count,offload_count,busy_time_us,waiting_time_us,gate_CZ,gate_H,gate_MEASURE,gate_RESET,gate_X,gate_Y,gate_Z
Q000,120.0,2,2,783.9733192202044,23553.407426372807,5,3,0,0,0,0,0
Q001,152.0,4,4,1573.3679697070415,22764.01277588597,7,3,0,0,0,0,0
Q002,152.0,4,4,1572.7679697070425,22764.61277588597,5,3,0,0,0,0,0
Q003,152.0,4,4,1573.3679697070434,22764.012775885967,7,3,0,0,0,0,0
Q004,184.0,6,6,2362.7626201938824,21974.618125399127,9,3,0,0,0,0,0
Q005,184.0,6,6,2362.16262019388,21975.21812539913,7,3,0,0,0,0,0
Q006,152.0,4,4,1572.767969707042,22764.61277588597,5,3,0,0,0,0,0
Q007,184.0,6,6,2362.162620193881,21975.21812539913,7,3,0,0,0,0,0
Q008,184.0,6,6,2361.5626201938803,21975.81812539913,5,3,0,0,0,0,0
Q009,204.0,3,3,1364.0940192195526,22973.28672637346,5,4,0,0,0,0,0
Q010,236.0,5,5,2154.48866970639,22182.892075886622,7,4,0,0,0,0,1
Q011,236.0,5,5,2152.888669706391,22184.49207588662,5,4,0,0,0,0,0
Q012,236.0,5,5,2153.4886697063916,22183.89207588662,7,4,0,0,0,0,0
Q013,268.0,7,7,2947.8833201932307,21389.49742539978,9,6,0,0,1,1,1
Q014,268.0,7,7,2942.283320193228,21395.097425399785,7,4,0,0,0,0,0
Q015,236.0,5,5,2153.8886697063904,22183.49207588662,5,4,0,0,0,0,1
Q016,268.0,7,7,2942.2833201932294,21395.09742539978,7,4,0,0,0,0,0
Q017,268.0,7,7,2941.6833201932286,21395.697425399783,5,4,0,0,0,0,0
Q018,718.0,12,12,7075.97125501585,17261.40949057716,8,4,2,2,0,0,0
Q019,550.0,4,4,3800.7926530684995,20536.58809252451,8,4,2,2,0,0,0
Q020,550.0,4,4,3799.5926530684987,20537.78809252451,4,4,2,2,0,0,0
Q021,654.0,8,8,5497.181954042174,18840.198791550836,4,4,2,2,0,0,0
Q022,638.0,12,12,6835.971255015854,17501.409490577156,8,4,2,2,0,0,0
Q023,550.0,4,4,3800.792653068499,20536.58809252451,8,4,2,2,0,0,0
Q024,574.0,8,8,5257.181954042176,19080.198791550836,4,4,2,2,0,0,0
Q025,550.0,4,4,3799.5926530685,20537.78809252451,4,4,2,2,0,0,0
Q026,718.0,12,12,7075.97125501585,17261.40949057716,8,4,2,2,0,0,0
Q027,550.0,4,4,3800.7926530684995,20536.58809252451,8,4,2,2,0,0,0
Q028,550.0,4,4,3799.5926530684987,20537.78809252451,4,4,2,2,0,0,0
Q029,654.0,8,8,5497.181954042174,18840.198791550836,4,4,2,2,0,0,0
Q030,638.0,12,12,6835.971255015854,17501.409490577156,8,4,2,2,0,0,0
Q031,550.0,4,4,3800.792653068499,20536.58809252451,8,4,2,2,0,0,0
Q032,574.0,8,8,5257.181954042176,19080.198791550836,4,4,2,2,0,0,0
Q033,550.0,4,4,3799.5926530685,20537.78809252451,4,4,2,2,0,0,0
