atom_id,distance_um,load_count,offload_count,busy_time_us,waiting_time_us,gate_CZ,gate_H,gate_MEASURE,gate_RESET,gate_X,gate_Y,gate_Z
Q000,184.0,6,6,2516.481954042177,22458.73708191495,5,3,0,0,0,0,0
Q001,152.0,4,4,1573.3679697070415,23401.85106625009,7,3,0,0,0,0,0
Q002,168.0,5,5,1967.16529495046,23008.053741006668,5,3,0,0,0,0,0
Q003,168.0,5,5,1967.7652949504627,23007.453741006666,7,3,0,0,0,0,0
Q004,168.0,5,5,2045.824961874608,22929.39407408252,9,3,0,0,0,0,0
Q005,184.0,6,6,2439.622287118035,22535.596748839092,7,3,0,0,0,0,0
Q006,168.0,5,5,2044.6249618746065,22930.59407408252,5,3,0,0,0,0,0
Q007,120.0,2,2,784.5733192202084,24190.64571673692,7,3,0,0,0,0,0
Q008,152.0,4,4,1572.767969707039,23402.45106625009,5,3,0,0,0,0,0
Q009,270.0,7,7,3174.394665301302,21800.824370655828,5,4,0,0,0,0,0
Q010,238.0,5,5,2232.2806809661665,22742.93835499096,7,4,0,0,0,0,1
Q011,254.0,6,6,2625.078006209585,22350.141029747545,5,4,0,0,0,0,0
Q012,254.0,6,6,2625.6780062095877,22349.54102974754,7,4,0,0,0,0,0
Q013,254.0,6,6,2708.737673133733,22266.481362823397,9,6,0,0,1,1,1
Q014,270.0,7,7,3097.53499837716,21877.68403757997,7,4,0,0,0,0,0
Q015,254.0,6,6,2703.5376731337315,22271.681362823398,5,4,0,0,0,0,1
Q016,206.0,3,3,1442.4860304793333,23532.733005477796,7,4,0,0,0,0,0
Q017,238.0,5,5,2230.680680966164,22744.538354990964,5,4,0,0,0,0,0
Q018,638.0,7,7,5181.444295722906,19793.77474023422,8,4,2,2,0,0,0
Q019,630.0,9,9,5772.779279285594,19202.439756671534,8,4,2,2,0,0,0
Q020,582.0,6,6,4588.387303555337,20386.83173240179,4,4,2,2,0,0,0
Q021,622.0,6,6,4785.846970479486,20189.37206547764,4,4,2,2,0,0,0
Q022,542.0,6,6,4547.046970479484,20428.172065477644,8,4,2,2,0,0,0
Q023,646.0,10,10,6322.09593837731,18653.123097579817,8,4,2,2,0,0,0
Q024,526.0,5,5,4151.4496452360645,20823.769390721063,4,4,2,2,0,0,0
Q025,598.0,7,7,5060.244295722905,19914.974740234225,4,4,2,2,0,0,0
Q026,638.0,7,7,5181.444295722906,19793.77474023422,8,4,2,2,0,0,0
Q027,630.0,9,9,5772.779279285594,19202.439756671534,8,4,2,2,0,0,0
Q028,582.0,6,6,4588.387303555337,20386.83173240179,4,4,2,2,0,0,0
Q029,622.0,6,6,4785.846970479486,20189.37206547764,4,4,2,2,0,0,0
Q030,542.0,6,6,4547.046970479484,20428.172065477644,8,4,2,2,0,0,0
Q031,646.0,10,10,6322.09593837731,18653.123097579817,8,4,2,2,0,0,0
Q032,526.0,5,5,4151.4496452360645,20823.769390721063,4,4,2,2,0,0,0
Q033,598.0,7,7,5060.244295722905,19914.974740234225,4,4,2,2,0,0,0
